Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210615-MA-CWB1W_S35_L001_R2_001	20210615-MA-CWB1W_S35_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6421.0	1.6 Mbp	0.0	251.0	53.0	18.98458184083476	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CWS1F_S81_L001_R1_001	20210615-MA-CWS1F_S81_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7008.0	1.7 Mbp	0.0	251.0	52.0	13.712899543378995	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CWS1F_S81_L001_R2_001	20210615-MA-CWS1F_S81_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7008.0	1.7 Mbp	0.0	251.0	53.0	22.317351598173516	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CWS1P_S66_L001_R1_001	20210615-MA-CWS1P_S66_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5741.0	1.4 Mbp	0.0	251.0	52.0	15.154154328514197	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CWS1P_S66_L001_R2_001	20210615-MA-CWS1P_S66_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5741.0	1.4 Mbp	0.0	251.0	53.0	19.33461069500087	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CWS1W_S82_L001_R1_001	20210615-MA-CWS1W_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7781.0	1.9 Mbp	0.0	251.0	52.0	13.72574219252024	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CWS1W_S82_L001_R2_001	20210615-MA-CWS1W_S82_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7781.0	1.9 Mbp	0.0	251.0	53.0	20.717131474103585	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-MBB1F_S69_L001_R1_001	20210615-MA-MBB1F_S69_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7037.0	1.7 Mbp	0.0	251.0	51.0	11.297427881199376	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-MBB1F_S69_L001_R2_001	20210615-MA-MBB1F_S69_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7037.0	1.7 Mbp	0.0	251.0	52.0	14.892709961631375	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-MBB1P_S90_L001_R1_001	20210615-MA-MBB1P_S90_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5835.0	1.4 Mbp	0.0	251.0	51.0	14.601542416452443	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-MBB1P_S90_L001_R2_001	20210615-MA-MBB1P_S90_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5835.0	1.4 Mbp	0.0	251.0	52.0	17.41216795201371	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-MBB1W_S71_L001_R1_001	20210615-MA-MBB1W_S71_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6319.0	1.5 Mbp	0.0	251.0	51.0	12.786833359708815	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-MBB1W_S71_L001_R2_001	20210615-MA-MBB1W_S71_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6319.0	1.5 Mbp	0.0	251.0	52.0	16.505776230416206	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-MBS1F_S23_L001_R1_001	20210615-MA-MBS1F_S23_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6461.0	1.6 Mbp	0.0	251.0	52.0	11.80931744312026	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-MBS1F_S23_L001_R2_001	20210615-MA-MBS1F_S23_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6461.0	1.6 Mbp	0.0	251.0	53.0	16.081101996594953	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-MBS1P_S89_L001_R1_001	20210615-MA-MBS1P_S89_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7096.0	1.7 Mbp	0.0	251.0	50.0	13.86696730552424	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-MBS1P_S89_L001_R2_001	20210615-MA-MBS1P_S89_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7096.0	1.7 Mbp	0.0	251.0	51.0	16.234498308906424	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-MBS1W_S83_L001_R1_001	20210615-MA-MBS1W_S83_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7850.0	1.9 Mbp	0.0	251.0	51.0	12.38216560509554	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-MBS1W_S83_L001_R2_001	20210615-MA-MBS1W_S83_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7850.0	1.9 Mbp	0.0	251.0	52.0	20.50955414012739	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-SCB2F_S86_L001_R1_001	20210615-MA-SCB2F_S86_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10.0	2.5 kbp	0.0	251.0	49.0	80.0	251.0	251	pass	pass	fail	pass	fail	fail	fail	pass	pass	fail	pass
20210615-MA-SCB2F_S86_L001_R2_001	20210615-MA-SCB2F_S86_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10.0	2.5 kbp	0.0	251.0	51.0	90.0	251.0	251	pass	pass	warn	warn	fail	fail	pass	pass	pass	fail	pass
20210615-MA-SCB2P_S76_L001_R1_001	20210615-MA-SCB2P_S76_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7020.0	1.7 Mbp	0.0	251.0	50.0	17.27920227920228	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-SCB2P_S76_L001_R2_001	20210615-MA-SCB2P_S76_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7020.0	1.7 Mbp	0.0	251.0	51.0	25.797720797720796	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-SCB2W_S20_L001_R1_001	20210615-MA-SCB2W_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6186.0	1.5 Mbp	0.0	251.0	50.0	12.657613967022307	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-SCB2W_S20_L001_R2_001	20210615-MA-SCB2W_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6186.0	1.5 Mbp	0.0	251.0	51.0	16.715163271904302	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-SCS2F_S19_L001_R1_001	20210615-MA-SCS2F_S19_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4824.0	1.2 Mbp	0.0	251.0	51.0	12.106135986733001	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-SCS2F_S19_L001_R2_001	20210615-MA-SCS2F_S19_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4824.0	1.2 Mbp	0.0	251.0	51.0	17.143449419568825	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-SCS2P_S1_L001_R1_001	20210615-MA-SCS2P_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10372.0	2.6 Mbp	0.0	251.0	46.0	7.915541843424605	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-SCS2P_S1_L001_R2_001	20210615-MA-SCS2P_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10372.0	2.6 Mbp	0.0	251.0	47.0	10.460856151176245	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-SCS2W_S43_L001_R1_001	20210615-MA-SCS2W_S43_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5851.0	1.4 Mbp	0.0	251.0	51.0	12.06631345069219	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-SCS2W_S43_L001_R2_001	20210615-MA-SCS2W_S43_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5851.0	1.4 Mbp	0.0	251.0	51.0	16.57836267304734	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-ABB2F_S3_L001_R1_001	20211005-MA-ABB2F_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6484.0	1.6 Mbp	0.0	251.0	52.0	14.528069093152373	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-ABB2F_S3_L001_R2_001	20211005-MA-ABB2F_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6484.0	1.6 Mbp	0.0	251.0	53.0	18.10610734114744	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-ABB2P_S49_L001_R1_001	20211005-MA-ABB2P_S49_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8715.0	2.1 Mbp	0.0	251.0	51.0	16.46586345381526	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-ABB2P_S49_L001_R2_001	20211005-MA-ABB2P_S49_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8715.0	2.1 Mbp	0.0	251.0	52.0	19.862306368330465	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-ABB2W_S64_L001_R1_001	20211005-MA-ABB2W_S64_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7730.0	1.9 Mbp	0.0	251.0	52.0	13.027166882276845	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-ABB2W_S64_L001_R2_001	20211005-MA-ABB2W_S64_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7730.0	1.9 Mbp	0.0	251.0	53.0	16.610608020698578	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-ABS1F_S15_L001_R1_001	20211005-MA-ABS1F_S15_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5686.0	1.4 Mbp	0.0	251.0	52.0	15.810763278227224	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-ABS1F_S15_L001_R2_001	20211005-MA-ABS1F_S15_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5686.0	1.4 Mbp	0.0	251.0	52.0	17.850861765740415	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-ABS1P_S13_L001_R1_001	20211005-MA-ABS1P_S13_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6240.0	1.5 Mbp	0.0	251.0	51.0	17.067307692307693	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-ABS1P_S13_L001_R2_001	20211005-MA-ABS1P_S13_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6240.0	1.5 Mbp	0.0	251.0	52.0	19.423076923076923	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-ABS1W_S16_L001_R1_001	20211005-MA-ABS1W_S16_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6379.0	1.6 Mbp	0.0	251.0	52.0	14.923969274180907	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-ABS1W_S16_L001_R2_001	20211005-MA-ABS1W_S16_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6379.0	1.6 Mbp	0.0	251.0	53.0	17.463552280921775	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CEB1F_S39_L001_R1_001	20211005-MA-CEB1F_S39_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5482.0	1.3 Mbp	0.0	251.0	52.0	18.059102517329443	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CEB1F_S39_L001_R2_001	20211005-MA-CEB1F_S39_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5482.0	1.3 Mbp	0.0	251.0	52.0	21.76213060926669	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CEB1P_S62_L001_R1_001	20211005-MA-CEB1P_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7306.0	1.8 Mbp	0.0	251.0	52.0	18.01259238981659	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CEB1P_S62_L001_R2_001	20211005-MA-CEB1P_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7306.0	1.8 Mbp	0.0	251.0	52.0	21.366000547495208	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CEB1W_S72_L001_R1_001	20211005-MA-CEB1W_S72_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7445.0	1.8 Mbp	0.0	251.0	51.0	16.480859637340497	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CEB1W_S72_L001_R2_001	20211005-MA-CEB1W_S72_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7445.0	1.8 Mbp	0.0	251.0	52.0	21.235728676964406	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CES2F_S74_L001_R1_001	20211005-MA-CES2F_S74_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7589.0	1.9 Mbp	0.0	251.0	52.0	13.928053762023982	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CES2F_S74_L001_R2_001	20211005-MA-CES2F_S74_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7589.0	1.9 Mbp	0.0	251.0	52.0	21.425747792858086	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CES2P_S61_L001_R1_001	20211005-MA-CES2P_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7582.0	1.9 Mbp	0.0	251.0	52.0	14.877341070957531	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CES2P_S61_L001_R2_001	20211005-MA-CES2P_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7582.0	1.9 Mbp	0.0	251.0	53.0	17.422843576892642	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CES2W_S7_L001_R1_001	20211005-MA-CES2W_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5700.0	1.4 Mbp	0.0	251.0	52.0	16.210526315789473	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CES2W_S7_L001_R2_001	20211005-MA-CES2W_S7_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5700.0	1.4 Mbp	0.0	251.0	53.0	19.42105263157895	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CWB1F_S14_L001_R1_001	20211005-MA-CWB1F_S14_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5906.0	1.4 Mbp	0.0	251.0	52.0	18.303420250592616	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CWB1F_S14_L001_R2_001	20211005-MA-CWB1F_S14_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5906.0	1.4 Mbp	0.0	251.0	53.0	24.97460209955977	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CWB1P_S50_L001_R1_001	20211005-MA-CWB1P_S50_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5669.0	1.4 Mbp	0.0	251.0	53.0	20.550361615805258	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CWB1P_S50_L001_R2_001	20211005-MA-CWB1P_S50_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5669.0	1.4 Mbp	0.0	251.0	53.0	28.36479096842477	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CWB1W_S38_L001_R1_001	20211005-MA-CWB1W_S38_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5127.0	1.2 Mbp	0.0	251.0	52.0	20.518821923151943	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CWB1W_S38_L001_R2_001	20211005-MA-CWB1W_S38_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5127.0	1.2 Mbp	0.0	251.0	53.0	28.16461868539107	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CWS1F_S73_L001_R1_001	20211005-MA-CWS1F_S73_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7687.0	1.9 Mbp	0.0	251.0	52.0	15.90997788474047	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CWS1F_S73_L001_R2_001	20211005-MA-CWS1F_S73_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7687.0	1.9 Mbp	0.0	251.0	53.0	24.88617145830623	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CWS1P_S37_L001_R1_001	20211005-MA-CWS1P_S37_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5686.0	1.4 Mbp	0.0	251.0	51.0	19.486457966936335	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CWS1P_S37_L001_R2_001	20211005-MA-CWS1P_S37_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5686.0	1.4 Mbp	0.0	251.0	52.0	26.04642982764685	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-CWS1W_S2_L001_R1_001	20211005-MA-CWS1W_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5227.0	1.3 Mbp	0.0	251.0	52.0	19.28448440788215	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-CWS1W_S2_L001_R2_001	20211005-MA-CWS1W_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5227.0	1.3 Mbp	0.0	251.0	53.0	25.387411517122633	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-MBB1F_S4_L001_R1_001	20211005-MA-MBB1F_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7683.0	1.9 Mbp	0.0	251.0	51.0	14.187166471430432	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-MBB1F_S4_L001_R2_001	20211005-MA-MBB1F_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7683.0	1.9 Mbp	0.0	251.0	52.0	17.896654952492515	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-MBB1P_S85_L001_R1_001	20211005-MA-MBB1P_S85_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10263.0	2.5 Mbp	0.0	251.0	51.0	13.0468673877034	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-MBB1P_S85_L001_R2_001	20211005-MA-MBB1P_S85_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10263.0	2.5 Mbp	0.0	251.0	52.0	16.48640748319205	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-MBB1W_S56_L001_R1_001	20211005-MA-MBB1W_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10281.0	2.5 Mbp	0.0	251.0	52.0	12.46960412411244	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-MBB1W_S56_L001_R2_001	20211005-MA-MBB1W_S56_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10281.0	2.5 Mbp	0.0	251.0	52.0	14.804007392277017	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-MBS1F_S48_L001_R1_001	20211005-MA-MBS1F_S48_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6543.0	1.6 Mbp	0.0	251.0	52.0	14.259513984410821	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-MBS1F_S48_L001_R2_001	20211005-MA-MBS1F_S48_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6543.0	1.6 Mbp	0.0	251.0	52.0	18.600030567018187	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-MBS1P_S26_L001_R1_001	20211005-MA-MBS1P_S26_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6253.0	1.5 Mbp	0.0	251.0	51.0	16.40812410043179	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-MBS1P_S26_L001_R2_001	20211005-MA-MBS1P_S26_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6253.0	1.5 Mbp	0.0	251.0	52.0	19.334719334719335	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-MBS1W_S60_L001_R1_001	20211005-MA-MBS1W_S60_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8095.0	2 Mbp	0.0	251.0	51.0	13.675108091414453	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-MBS1W_S60_L001_R2_001	20211005-MA-MBS1W_S60_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8095.0	2 Mbp	0.0	251.0	52.0	17.70228536133416	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-SCB1F_S51_L001_R1_001	20211005-MA-SCB1F_S51_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8641.0	2.1 Mbp	0.0	251.0	51.0	11.005670639972227	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-SCB1F_S51_L001_R2_001	20211005-MA-SCB1F_S51_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8641.0	2.1 Mbp	0.0	251.0	52.0	13.273926628862402	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-SCB1P_S27_L001_R1_001	20211005-MA-SCB1P_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6980.0	1.7 Mbp	0.0	251.0	51.0	13.22349570200573	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-SCB1P_S27_L001_R2_001	20211005-MA-SCB1P_S27_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6980.0	1.7 Mbp	0.0	251.0	52.0	16.475644699140403	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-SCB1W_S95_L001_R1_001	20211005-MA-SCB1W_S95_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8596.0	2.1 Mbp	0.0	251.0	51.0	18.82270823638902	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-SCB1W_S95_L001_R2_001	20211005-MA-SCB1W_S95_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8596.0	2.1 Mbp	0.0	251.0	52.0	23.47603536528618	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-SCS2F_S63_L001_R1_001	20211005-MA-SCS2F_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7535.0	1.8 Mbp	0.0	251.0	51.0	11.134704711347048	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-SCS2F_S63_L001_R2_001	20211005-MA-SCS2F_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7535.0	1.8 Mbp	0.0	251.0	52.0	14.001327140013272	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-SCS2P_S25_L001_R1_001	20211005-MA-SCS2P_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6816.0	1.7 Mbp	0.0	251.0	50.0	12.411971830985916	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-SCS2P_S25_L001_R2_001	20211005-MA-SCS2P_S25_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6816.0	1.7 Mbp	0.0	251.0	51.0	14.4806338028169	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20211005-MA-SCS2W_S75_L001_R1_001	20211005-MA-SCS2W_S75_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7357.0	1.8 Mbp	0.0	251.0	51.0	11.47206741878483	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20211005-MA-SCS2W_S75_L001_R2_001	20211005-MA-SCS2W_S75_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7357.0	1.8 Mbp	0.0	251.0	52.0	18.784830773413074	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
3um-Control_S24_L001_R1_001	3um-Control_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9457.0	2.3 Mbp	0.0	251.0	51.0	3.119382468013112	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
